1, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
2, none, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 16, 32
3, none, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
4, none, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
5, none, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
6, none, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
7, none, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
8, none, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
9, none, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 4, 4
10, none, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 4, 4
11, none, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 4, 4
12, none, terralith:alpha_islands, CREATURE, minecraft:cow, 10, 4, 4
13, none, terralith:alpha_islands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
14, none, terralith:alpha_islands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
15, none, terralith:alpha_islands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
16, none, terralith:alpha_islands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
17, none, terralith:alpha_islands, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
18, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
19, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
20, none, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
21, none, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 16, 32
22, none, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
23, none, terralith:alpha_islands_winter, MONSTER, minecraft:creeper, 80, 4, 4
24, none, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
25, none, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
26, none, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
27, none, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
28, none, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 4, 4
29, none, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 4, 4
30, none, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 4, 4
31, none, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 10, 4, 4
32, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:drygmy, 10, 1, 2
33, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
34, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
35, none, terralith:alpha_islands_winter, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
36, none, terralith:alpha_islands_winter, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
37, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
38, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 16, 32
39, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
40, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
41, forest, terralith:alpine_grove, MONSTER, minecraft:creeper, 80, 4, 4
42, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
43, forest, terralith:alpine_grove, MONSTER, minecraft:enderman, 5, 1, 4
44, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
45, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
46, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
47, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
48, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
49, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 8, 8
50, forest, terralith:alpine_grove, CREATURE, minecraft:pig, 10, 8, 8
51, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 8, 8
52, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 10, 8, 8
53, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 10, 4, 4
54, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 10, 2, 3
55, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 10, 2, 4
56, forest, terralith:alpine_grove, CREATURE, ars_nouveau:drygmy, 10, 1, 2
57, forest, terralith:alpine_grove, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
58, forest, terralith:alpine_grove, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
59, forest, terralith:alpine_grove, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
60, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
61, forest, terralith:alpine_grove, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
62, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
63, none, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
64, none, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 16, 32
65, none, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
66, none, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
67, none, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
68, none, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
69, none, terralith:alpine_highlands, MONSTER, minecraft:enderman, 5, 1, 4
70, none, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
71, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
72, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
73, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
74, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
75, none, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 8, 8
76, none, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 8, 8
77, none, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 8, 8
78, none, terralith:alpine_highlands, CREATURE, minecraft:cow, 10, 8, 8
79, none, terralith:alpine_highlands, CREATURE, minecraft:horse, 10, 2, 6
80, none, terralith:alpine_highlands, CREATURE, minecraft:donkey, 10, 1, 3
81, none, terralith:alpine_highlands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
82, none, terralith:alpine_highlands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
83, none, terralith:alpine_highlands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
84, none, terralith:alpine_highlands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
85, none, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
86, none, terralith:alpine_highlands, AMBIENT, dayzombierebooted:spawner, 10, 1, 1
87, none, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
88, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
89, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 16, 32
90, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
91, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
92, jungle, terralith:amethyst_canyon, MONSTER, minecraft:creeper, 80, 4, 4
93, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
94, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 5, 1, 4
