1, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
2, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 10, 1, 1
3, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
4, philipsruins:ancient_crypt, HEADING, header:ignore, 0, 0, 0
5, philipsruins:ancient_ruins, HEADING, header:ignore, 0, 0, 0
6, philipsruins:ancient_ruins, MONSTER, minecraft:zombie, 12, 5, 12
7, philipsruins:antiquus_crypta, HEADING, header:ignore, 0, 0, 0
8, philipsruins:antiquus_crypta, MONSTER, minecraft:skeleton, 15, 5, 15
9, philipsruins:antiquus_crypta, MONSTER, minecraft:zombie, 15, 7, 15
10, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
11, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
12, philipsruins:badlands_start_dungeon, HEADING, header:ignore, 0, 0, 0
13, philipsruins:badlands_structures, HEADING, header:ignore, 0, 0, 0
14, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
15, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
16, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
17, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
18, philipsruins:bone_dungeon, HEADING, header:ignore, 0, 0, 0
19, philipsruins:bone_dungeon, MONSTER, minecraft:skeleton, 10, 2, 8
20, philipsruins:bone_dungeon, MONSTER, minecraft:husk, 10, 5, 10
21, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
22, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
23, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
24, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
25, philipsruins:desert_structures, HEADING, header:ignore, 0, 0, 0
26, philipsruins:desert_structures, MONSTER, minecraft:husk, 15, 5, 15
27, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
28, philipsruins:end_gate_fortress, HEADING, header:ignore, 0, 0, 0
29, philipsruins:end_gate_fortress, MONSTER, minecraft:enderman, 15, 5, 15
30, philipsruins:end_ruins, HEADING, header:ignore, 0, 0, 0
31, philipsruins:field_stone_ruins, HEADING, header:ignore, 0, 0, 0
32, philipsruins:field_stone_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
33, philipsruins:field_stone_ruins, MONSTER, minecraft:zombie, 12, 5, 12
34, philipsruins:field_stone_ruins_rocks, HEADING, header:ignore, 0, 0, 0
35, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
36, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
37, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
38, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
39, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
40, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
41, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
42, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
43, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
44, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
45, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
46, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
47, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
48, ars_nouveau:guardian_wilden_den, HEADING, header:ignore, 0, 0, 0
49, ars_nouveau:guardian_wilden_den, MONSTER, ars_nouveau:wilden_guardian, 10, 1, 3
50, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
51, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
52, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
53, ars_nouveau:hunter_wilden_den, HEADING, header:ignore, 0, 0, 0
54, ars_nouveau:hunter_wilden_den, MONSTER, ars_nouveau:wilden_hunter, 10, 3, 3
55, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
56, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
57, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
58, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
59, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
60, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
61, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
62, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
63, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
64, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
65, philipsruins:level_one_ruins, HEADING, header:ignore, 0, 0, 0
66, philipsruins:level_one_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
67, philipsruins:level_one_ruins, MONSTER, minecraft:zombie, 12, 5, 12
68, philipsruins:level_three_ruins, HEADING, header:ignore, 0, 0, 0
69, philipsruins:level_two_ruins, HEADING, header:ignore, 0, 0, 0
70, philipsruins:level_two_ruins_pool, HEADING, header:ignore, 0, 0, 0
71, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
72, philipsruins:lost_soul_city, HEADING, header:ignore, 0, 0, 0
73, philipsruins:lost_soul_city, MONSTER, minecraft:wither_skeleton, 10, 1, 2
74, philipsruins:lost_soul_dungeon, HEADING, header:ignore, 0, 0, 0
75, philipsruins:lost_soul_dungeon, MONSTER, minecraft:wither_skeleton, 10, 1, 5
76, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
77, dungeons_arise:mechanical_nest, HEADING, header:ignore, 0, 0, 0
78, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
79, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
80, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
81, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
82, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
83, minecraft:monument, HEADING, header:ignore, 0, 0, 0
84, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
85, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
86, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
87, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
88, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
89, philipsruins:nether_lava_ruins, HEADING, header:ignore, 0, 0, 0
90, philipsruins:ocean_fortress, HEADING, header:ignore, 0, 0, 0
91, philipsruins:ocean_fortress, MONSTER, minecraft:guardian, 10, 2, 3
92, philipsruins:ocean_fortress, MONSTER, minecraft:drowned, 10, 5, 9
93, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
94, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
95, philipsruins:ocean_ruins, HEADING, header:ignore, 0, 0, 0
96, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
97, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
98, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
99, philipsruins:pumpkin_ruins, HEADING, header:ignore, 0, 0, 0
100, philipsruins:pumpkin_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
101, philipsruins:pumpkin_ruins, MONSTER, minecraft:zombie, 12, 5, 12
102, philipsruins:rare_ruin, HEADING, header:ignore, 0, 0, 0
103, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
104, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
105, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
106, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
107, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
108, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
109, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
110, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
111, philipsruins:sculk_dungeon, HEADING, header:ignore, 0, 0, 0
